gene_id gene_name gene_type	269c35f0-a4f7-4e30-a69f-f1f3b7b5dace.tsv_TPM	d820ac02-a30e-437b-b20a-3e92705b7b81.tsv_TPM
ENSG00000100554.12 ATP6V1D protein_coding	37.5434	25.2355
ENSG00000100558.9 PLEK2 protein_coding	1.0204	12.2751
ENSG00000100564.9 PIGH protein_coding	10.4191	6.1447
ENSG00000100565.15 LRRC74A protein_coding	0.0939	0.0433
ENSG00000100567.13 PSMA3 protein_coding	47.5445	55.3554
ENSG00000100568.11 VTI1B protein_coding	45.9622	11.1244
ENSG00000100575.14 TIMM9 protein_coding	34.0714	26.8505
ENSG00000100577.19 GSTZ1 protein_coding	6.2641	4.5690
ENSG00000100578.18 KIAA0586 protein_coding	2.5889	2.0709
ENSG00000100580.8 TMED8 protein_coding	13.7261	9.5535
ENSG00000100583.4 SAMD15 protein_coding	0.6451	0.8964
ENSG00000100591.8 AHSA1 protein_coding	48.1046	100.6889
ENSG00000100592.16 DAAM1 protein_coding	16.3956	12.2503
ENSG00000100593.18 ISM2 protein_coding	0.0000	0.2192
ENSG00000100596.7 SPTLC2 protein_coding	28.0598	21.5602
ENSG00000100599.16 RIN3 protein_coding	4.5982	6.6251
ENSG00000100600.15 LGMN protein_coding	185.1553	65.3171
ENSG00000100601.10 ALKBH1 protein_coding	7.6143	8.0442
ENSG00000100603.14 SNW1 protein_coding	52.0582	54.4910
ENSG00000100604.13 CHGA protein_coding	0.0429	0.0165
ENSG00000100605.17 ITPK1 protein_coding	70.1482	21.5013
ENSG00000100612.14 DHRS7 protein_coding	34.9456	35.3368
ENSG00000100614.18 PPM1A protein_coding	27.5997	9.8978
ENSG00000100625.9 SIX4 protein_coding	1.9299	10.6408
ENSG00000100626.17 GALNT16 protein_coding	14.6017	0.7879
ENSG00000100628.12 ASB2 protein_coding	0.4349	0.1605
ENSG00000100629.17 CEP128 protein_coding	1.4017	2.2032
ENSG00000100632.11 ERH protein_coding	116.5118	190.8844
ENSG00000100644.17 HIF1A protein_coding	35.1798	67.5830
ENSG00000100647.8 SUSD6 protein_coding	22.5397	28.0875
ENSG00000100650.16 SRSF5 protein_coding	80.0443	32.7202
ENSG00000100652.5 SLC10A1 protein_coding	0.1729	0.0498
ENSG00000100664.11 EIF5 protein_coding	95.4907	25.8175
ENSG00000100665.12 SERPINA4 protein_coding	0.0000	0.1256
ENSG00000100678.19 SLC8A3 protein_coding	0.2818	0.0177
ENSG00000100697.15 DICER1 protein_coding	23.2555	9.3810
ENSG00000100711.14 ZFYVE21 protein_coding	11.6605	4.9241
ENSG00000100714.17 MTHFD1 protein_coding	39.5370	11.5583
ENSG00000100721.11 TCL1A protein_coding	0.0575	0.0000
ENSG00000100722.20 ZC3H14 protein_coding	6.0232	3.5215
ENSG00000100726.15 TELO2 protein_coding	10.8607	21.9285
ENSG00000100739.11 BDKRB1 protein_coding	0.2736	0.8414
ENSG00000100744.15 GSKIP protein_coding	7.5415	7.5056
ENSG00000100749.8 VRK1 protein_coding	8.7123	20.1493
ENSG00000100764.14 PSMC1 protein_coding	7.9846	5.9673
ENSG00000100767.17 PAPLN protein_coding	6.4856	1.5554
ENSG00000100784.12 RPS6KA5 protein_coding	1.1597	0.7222
ENSG00000100802.15 C14orf93 protein_coding	4.3808	2.5669
ENSG00000100804.19 PSMB5 protein_coding	124.8631	234.0475
ENSG00000100811.14 YY1 protein_coding	38.4249	31.9827
ENSG00000100813.14 ACIN1 protein_coding	29.4382	40.5954
ENSG00000100814.18 CCNB1IP1 protein_coding	16.1789	19.5243
ENSG00000100815.12 TRIP11 protein_coding	18.5767	9.7992
ENSG00000100823.12 APEX1 protein_coding	124.7601	162.4641
ENSG00000100836.10 PABPN1 protein_coding	4.5435	3.9906
ENSG00000100842.13 EFS protein_coding	15.2030	27.8464
ENSG00000100852.13 ARHGAP5 protein_coding	13.9568	10.9203
ENSG00000100865.15 CINP protein_coding	12.3314	7.7121
ENSG00000100867.15 DHRS2 protein_coding	0.5231	0.2718
ENSG00000100883.13 SRP54 protein_coding	12.1635	19.6709
ENSG00000100884.9 CPNE6 protein_coding	0.0000	0.0083
ENSG00000100888.15 CHD8 protein_coding	9.4229	11.0230
ENSG00000100889.12 PCK2 protein_coding	43.0930	17.1653
ENSG00000100897.18 DCAF11 protein_coding	22.7044	25.0262
ENSG00000100902.11 PSMA6 protein_coding	0.7582	1.6335
ENSG00000100906.11 NFKBIA protein_coding	62.5222	153.1793
ENSG00000100908.14 EMC9 protein_coding	6.0647	15.0219
ENSG00000100911.16 PSME2 protein_coding	30.6943	58.3366
ENSG00000100916.14 BRMS1L protein_coding	6.8748	5.2508
ENSG00000100918.13 REC8 protein_coding	1.4858	1.9340
ENSG00000100926.15 TM9SF1 protein_coding	1.4341	2.6573
ENSG00000100934.15 SEC23A protein_coding	38.5675	20.0618
ENSG00000100938.18 GMPR2 protein_coding	35.7368	22.5970
ENSG00000100941.9 PNN protein_coding	40.1498	50.7382
ENSG00000100949.14 RABGGTA protein_coding	11.3025	12.8503
ENSG00000100968.14 NFATC4 protein_coding	9.5287	4.0096
ENSG00000100979.15 PLTP protein_coding	245.4472	445.9753
ENSG00000100982.12 PCIF1 protein_coding	30.5783	38.7619
ENSG00000100983.12 GSS protein_coding	13.0102	25.8378
ENSG00000100985.7 MMP9 protein_coding	3.0007	219.8300
ENSG00000100987.15 VSX1 protein_coding	0.0120	0.0139
ENSG00000100991.12 TRPC4AP protein_coding	91.2866	124.8015
ENSG00000100994.12 PYGB protein_coding	141.4986	153.2132
ENSG00000100997.20 ABHD12 protein_coding	24.2284	59.1191
ENSG00000101000.6 PROCR protein_coding	43.0652	9.0558
ENSG00000101003.10 GINS1 protein_coding	1.1105	22.2052
ENSG00000101004.15 NINL protein_coding	2.8774	9.6646
ENSG00000101017.14 CD40 protein_coding	25.3333	6.9470
ENSG00000101019.22 UQCC1 protein_coding	15.5126	12.6907
ENSG00000101040.19 ZMYND8 protein_coding	12.6942	22.3400
ENSG00000101049.17 SGK2 protein_coding	12.3157	0.8154
ENSG00000101052.13 IFT52 protein_coding	34.6460	37.1022
ENSG00000101057.16 MYBL2 protein_coding	1.6678	214.1582
ENSG00000101074.5 R3HDML protein_coding	0.0000	0.4526
ENSG00000101076.17 HNF4A protein_coding	0.0059	0.0068
ENSG00000101079.21 NDRG3 protein_coding	31.9740	72.3329
ENSG00000101082.14 SLA2 protein_coding	0.5533	0.3646
ENSG00000101096.20 NFATC2 protein_coding	10.0575	5.6182
ENSG00000101098.13 RIMS4 protein_coding	1.3427	12.1006
ENSG00000101104.13 PABPC1L protein_coding	2.0135	12.9036
ENSG00000101109.12 STK4 protein_coding	13.0016	14.0146
ENSG00000101115.13 SALL4 protein_coding	0.1424	2.0138
ENSG00000101126.18 ADNP protein_coding	34.0919	70.4135
ENSG00000101132.10 PFDN4 protein_coding	21.1505	40.1911
ENSG00000101134.12 DOK5 protein_coding	3.0385	21.9608
ENSG00000101138.12 CSTF1 protein_coding	12.8282	25.9210
ENSG00000101144.13 BMP7 protein_coding	1.8025	14.5593
ENSG00000101146.13 RAE1 protein_coding	11.2506	28.3436
ENSG00000101150.18 TPD52L2 protein_coding	71.0521	142.2453
ENSG00000101152.11 DNAJC5 protein_coding	35.6405	97.6989
ENSG00000101158.15 NELFCD protein_coding	23.7506	136.8121
ENSG00000101160.14 CTSZ protein_coding	242.5822	715.5896
ENSG00000101161.8 PRPF6 protein_coding	86.8649	140.6469
ENSG00000101162.4 TUBB1 protein_coding	0.1563	0.3305
ENSG00000101180.16 HRH3 protein_coding	0.0000	0.0371
ENSG00000101181.17 MTG2 protein_coding	9.4280	34.6748
ENSG00000101182.15 PSMA7 protein_coding	171.3477	722.9414
ENSG00000101187.16 SLCO4A1 protein_coding	3.1766	10.7517
ENSG00000101188.5 NTSR1 protein_coding	0.0306	0.4945
ENSG00000101189.7 MRGBP protein_coding	6.2105	37.9292
ENSG00000101190.13 TCFL5 protein_coding	12.1586	18.6848
ENSG00000101191.17 DIDO1 protein_coding	12.3328	18.1694
ENSG00000101193.8 GID8 protein_coding	34.0766	75.0711
ENSG00000101194.18 SLC17A9 protein_coding	0.7686	1.6081
ENSG00000101197.13 BIRC7 protein_coding	0.0558	0.4829
ENSG00000101198.15 NKAIN4 protein_coding	0.1169	0.1541
ENSG00000101199.13 ARFGAP1 protein_coding	11.3966	67.1889
ENSG00000101200.5 AVP protein_coding	0.0699	0.0000
ENSG00000101203.16 COL20A1 protein_coding	0.0039	0.0318
ENSG00000101204.18 CHRNA4 protein_coding	0.0145	0.0126
ENSG00000101210.13 EEF1A2 protein_coding	0.5828	239.6755
ENSG00000101213.7 PTK6 protein_coding	1.2308	23.5875
ENSG00000101216.11 GMEB2 protein_coding	6.8802	31.9657
ENSG00000101220.18 C20orf27 protein_coding	55.6112	143.8111
ENSG00000101222.12 SPEF1 protein_coding	0.1124	0.1814
ENSG00000101224.17 CDC25B protein_coding	15.5464	68.1348
ENSG00000101230.6 ISM1 protein_coding	33.0330	5.7485
ENSG00000101236.17 RNF24 protein_coding	10.0984	38.0220
ENSG00000101246.20 ARFRP1 protein_coding	8.2544	21.9874
ENSG00000101247.18 NDUFAF5 protein_coding	3.7478	4.5797
ENSG00000101251.13 SEL1L2 protein_coding	0.1113	0.0257
ENSG00000101255.11 TRIB3 protein_coding	4.1698	62.8056
ENSG00000101265.16 RASSF2 protein_coding	16.0766	12.7136
ENSG00000101266.19 CSNK2A1 protein_coding	8.5313	17.7624
ENSG00000101276.18 SLC52A3 protein_coding	1.7860	12.5739
ENSG00000101280.8 ANGPT4 protein_coding	3.6058	0.2233
ENSG00000101282.9 RSPO4 protein_coding	0.1256	23.7261
ENSG00000101290.14 CDS2 protein_coding	24.3847	14.4697
ENSG00000101292.8 PROKR2 protein_coding	0.0191	0.7836
ENSG00000101294.18 HM13 protein_coding	22.4984	89.8355
ENSG00000101298.15 SNPH protein_coding	2.3874	2.2374
ENSG00000101306.11 MYLK2 protein_coding	0.0145	1.1736
ENSG00000101307.16 SIRPB1 protein_coding	0.4050	0.4367
ENSG00000101310.17 SEC23B protein_coding	24.0882	71.0380
ENSG00000101311.16 FERMT1 protein_coding	1.4914	44.9419
ENSG00000101323.5 HAO1 protein_coding	0.0000	0.3408
ENSG00000101327.9 PDYN protein_coding	0.0123	0.0000
ENSG00000101331.17 CCM2L protein_coding	8.1411	1.0367
ENSG00000101333.17 PLCB4 protein_coding	7.3407	15.9633
ENSG00000101335.10 MYL9 protein_coding	485.6066	507.8735
ENSG00000101336.17 HCK protein_coding	9.4454	10.2121
ENSG00000101337.16 TM9SF4 protein_coding	38.7569	126.6980
ENSG00000101342.10 TLDC2 protein_coding	0.3898	0.2932
ENSG00000101343.15 CRNKL1 protein_coding	21.4498	27.3239
ENSG00000101346.14 POFUT1 protein_coding	35.5485	71.1380
ENSG00000101347.10 SAMHD1 protein_coding	35.7603	15.3581
ENSG00000101350.8 KIF3B protein_coding	38.0550	61.9939
ENSG00000101353.15 MROH8 protein_coding	3.1807	0.4376
ENSG00000101361.17 NOP56 protein_coding	26.9143	95.0935
ENSG00000101363.12 MANBAL protein_coding	66.4165	95.6673
ENSG00000101365.21 IDH3B protein_coding	70.0363	106.1272
ENSG00000101367.9 MAPRE1 protein_coding	113.2226	308.4865
ENSG00000101384.12 JAG1 protein_coding	40.9656	26.8527
ENSG00000101391.21 CDK5RAP1 protein_coding	9.9291	22.3529
ENSG00000101400.6 SNTA1 protein_coding	70.6475	46.5780
ENSG00000101405.3 OXT protein_coding	0.4217	0.0973
ENSG00000101407.13 TTI1 protein_coding	9.8110	26.5320
ENSG00000101412.13 E2F1 protein_coding	2.2198	67.2382
ENSG00000101413.12 RPRD1B protein_coding	18.4442	21.3904
ENSG00000101417.12 PXMP4 protein_coding	11.4623	7.1279
ENSG00000101421.4 CHMP4B protein_coding	174.2109	528.1681
ENSG00000101425.14 BPI protein_coding	0.1394	0.5825
ENSG00000101435.5 CST9L protein_coding	0.0000	0.0000
ENSG00000101438.4 SLC32A1 protein_coding	0.0170	0.0000
ENSG00000101439.9 CST3 protein_coding	281.6982	149.2720
ENSG00000101440.9 ASIP protein_coding	0.8899	0.3207
ENSG00000101441.4 CST4 protein_coding	0.0000	0.2658
ENSG00000101442.10 ACTR5 protein_coding	6.7953	13.3015
ENSG00000101443.18 WFDC2 protein_coding	7.4222	68.8817
ENSG00000101444.13 AHCY protein_coding	40.0578	163.7039
ENSG00000101445.10 PPP1R16B protein_coding	18.0085	1.3237
ENSG00000101446.8 SPINT3 protein_coding	0.0000	0.0000
ENSG00000101447.15 FAM83D protein_coding	0.7692	59.8341
ENSG00000101448.14 EPPIN protein_coding	0.0000	0.0000
ENSG00000101452.15 DHX35 protein_coding	5.8177	9.7435
ENSG00000101457.13 DNTTIP1 protein_coding	16.6027	66.6341
ENSG00000101460.13 MAP1LC3A protein_coding	41.7667	42.2291
ENSG00000101463.6 SYNDIG1 protein_coding	2.6316	11.9939
ENSG00000101464.11 PIGU protein_coding	14.5296	34.8917
ENSG00000101470.10 TNNC2 protein_coding	3.1162	6.1265
ENSG00000101473.17 ACOT8 protein_coding	5.6944	12.1816
ENSG00000101474.12 APMAP protein_coding	335.3844	273.3485
ENSG00000101489.20 CELF4 protein_coding	0.2530	1.8211
ENSG00000101493.11 ZNF516 protein_coding	5.3686	6.5887
ENSG00000101542.10 CDH20 protein_coding	4.1681	0.0000
ENSG00000101544.9 ADNP2 protein_coding	11.1137	18.8838
ENSG00000101546.13 RBFA protein_coding	4.0628	2.6062
ENSG00000101557.15 USP14 protein_coding	44.7507	45.4534
ENSG00000101558.14 VAPA protein_coding	28.7306	31.3181
ENSG00000101574.15 METTL4 protein_coding	4.7245	6.4330
ENSG00000101577.10 LPIN2 protein_coding	17.3625	24.8611
ENSG00000101596.16 SMCHD1 protein_coding	14.5517	17.6500
ENSG00000101605.13 MYOM1 protein_coding	26.2480	0.9151
ENSG00000101608.13 MYL12A protein_coding	134.7166	237.1675
ENSG00000101624.11 CEP76 protein_coding	2.2108	3.6096
ENSG00000101638.14 ST8SIA5 protein_coding	0.0304	0.1114
ENSG00000101639.18 CEP192 protein_coding	6.4154	10.7441
ENSG00000101654.18 RNMT protein_coding	14.4499	27.1851
ENSG00000101665.9 SMAD7 protein_coding	23.2809	19.4406
ENSG00000101670.12 LIPG protein_coding	0.1653	1.1131
ENSG00000101680.15 LAMA1 protein_coding	0.5949	1.6016
ENSG00000101695.9 RNF125 protein_coding	13.5640	1.5394
ENSG00000101745.17 ANKRD12 protein_coding	14.8870	6.6524
ENSG00000101746.15 NOL4 protein_coding	0.0685	0.1141
ENSG00000101751.10 POLI protein_coding	15.5789	2.8343
ENSG00000101752.12 MIB1 protein_coding	19.8783	13.0965
ENSG00000101773.19 RBBP8 protein_coding	20.3138	17.0772
ENSG00000101782.15 RIOK3 protein_coding	39.8653	41.9425
ENSG00000101811.14 CSTF2 protein_coding	8.2640	28.0133
ENSG00000101825.8 MXRA5 protein_coding	33.1050	140.4541
ENSG00000101842.14 VSIG1 protein_coding	0.0574	1.3371
ENSG00000101843.19 PSMD10 protein_coding	37.2766	58.2252
ENSG00000101844.18 ATG4A protein_coding	14.1767	12.5292
ENSG00000101846.8 STS protein_coding	19.5170	2.4863
ENSG00000101849.17 TBL1X protein_coding	15.5767	12.2103
ENSG00000101850.13 GPR143 protein_coding	0.3836	3.6016
ENSG00000101856.10 PGRMC1 protein_coding	265.0939	259.9550
ENSG00000101868.13 POLA1 protein_coding	3.4761	6.6176
ENSG00000101871.16 MID1 protein_coding	6.6163	39.7632
ENSG00000101882.10 NKAP protein_coding	5.7322	10.2224
ENSG00000101883.5 RHOXF1 protein_coding	2.3749	0.3340
ENSG00000101888.12 NXT2 protein_coding	13.1173	13.9045
ENSG00000101890.5 GUCY2F protein_coding	0.0000	0.0134
ENSG00000101892.12 ATP1B4 protein_coding	0.0091	0.0000
ENSG00000101901.12 ALG13 protein_coding	7.7893	5.0883
ENSG00000101911.13 PRPS2 protein_coding	23.2348	62.0345
ENSG00000101916.12 TLR8 protein_coding	2.1968	0.1719
ENSG00000101928.13 MOSPD1 protein_coding	7.8760	15.8937
ENSG00000101935.10 AMMECR1 protein_coding	3.8563	16.2187
ENSG00000101938.15 CHRDL1 protein_coding	375.3487	9.8518
ENSG00000101940.18 WDR13 protein_coding	21.6895	25.6386
ENSG00000101945.17 SUV39H1 protein_coding	5.0590	22.1311
ENSG00000101951.17 PAGE4 protein_coding	0.0000	0.0000
ENSG00000101955.15 SRPX protein_coding	213.8850	28.8022
ENSG00000101958.14 GLRA2 protein_coding	0.0000	0.0269
ENSG00000101966.13 XIAP protein_coding	18.5274	18.7856
ENSG00000101972.19 STAG2 protein_coding	47.4910	35.5822
ENSG00000101974.14 ATP11C protein_coding	14.3997	15.3721
ENSG00000101977.21 MCF2 protein_coding	0.1540	0.1677
ENSG00000101981.12 F9 protein_coding	0.0000	0.0000
ENSG00000101986.12 ABCD1 protein_coding	21.6856	18.4723
ENSG00000101997.13 CCDC22 protein_coding	14.4633	29.3561
ENSG00000102001.13 CACNA1F protein_coding	0.1686	0.0648
ENSG00000102003.11 SYP protein_coding	0.9084	0.7857
ENSG00000102007.11 PLP2 protein_coding	68.4071	190.4294
ENSG00000102010.15 BMX protein_coding	7.6807	0.1941
ENSG00000102021.11 LUZP4 protein_coding	0.0000	0.0286
ENSG00000102024.18 PLS3 protein_coding	193.7452	185.7047
ENSG00000102030.16 NAA10 protein_coding	4.3213	16.1598
ENSG00000102032.13 RENBP protein_coding	13.7396	5.3381
ENSG00000102034.17 ELF4 protein_coding	11.0300	33.1937
ENSG00000102038.16 SMARCA1 protein_coding	44.8261	10.7384
ENSG00000102043.16 MTMR8 protein_coding	0.7564	1.6377
ENSG00000102048.16 ASB9 protein_coding	4.7395	7.6086
ENSG00000102053.12 ZC3H12B protein_coding	1.0998	0.9114
ENSG00000102054.18 RBBP7 protein_coding	30.2471	57.8283
ENSG00000102057.10 KCND1 protein_coding	1.5651	1.3372
ENSG00000102076.10 OPN1LW protein_coding	0.0000	0.0000
ENSG00000102078.16 SLC25A14 protein_coding	4.0408	7.3127
ENSG00000102081.15 FMR1 protein_coding	14.2265	8.7906
ENSG00000102096.9 PIM2 protein_coding	9.4970	14.8367
ENSG00000102098.19 SCML2 protein_coding	1.4000	3.4824
ENSG00000102100.16 SLC35A2 protein_coding	8.6769	91.9167
ENSG00000102103.17 PQBP1 protein_coding	20.9401	64.3448
ENSG00000102104.9 RS1 protein_coding	0.0000	0.0000
ENSG00000102109.9 PCSK1N protein_coding	0.1294	43.9288
ENSG00000102119.11 EMD protein_coding	50.6587	123.0187
ENSG00000102125.16 TAZ protein_coding	6.2041	6.0522
ENSG00000102128.8 RAB40AL protein_coding	0.0000	0.0000
ENSG00000102144.15 PGK1 protein_coding	130.5475	891.4262
ENSG00000102145.15 GATA1 protein_coding	0.1450	0.0669
ENSG00000102158.20 MAGT1 protein_coding	45.5199	71.4508
ENSG00000102172.16 SMS protein_coding	58.3898	352.3459
ENSG00000102174.9 PHEX protein_coding	2.2234	0.8597
ENSG00000102178.13 UBL4A protein_coding	41.0343	76.3835
ENSG00000102181.21 CD99L2 protein_coding	67.9407	13.9219
ENSG00000102189.17 EEA1 protein_coding	20.5475	4.9109
ENSG00000102195.10 GPR50 protein_coding	0.1499	0.0000
ENSG00000102218.6 RP2 protein_coding	12.1271	11.6512
ENSG00000102221.14 JADE3 protein_coding	6.5799	32.7629
ENSG00000102225.16 CDK16 protein_coding	33.0067	89.6451
ENSG00000102226.10 USP11 protein_coding	30.3385	28.3717
ENSG00000102230.14 PCYT1B protein_coding	0.1527	0.4667
ENSG00000102239.5 BRS3 protein_coding	0.0780	0.0000
ENSG00000102241.12 HTATSF1 protein_coding	82.3459	100.0847
ENSG00000102243.13 VGLL1 protein_coding	0.8197	152.4880
ENSG00000102245.8 CD40LG protein_coding	0.7710	0.0269
ENSG00000102265.12 TIMP1 protein_coding	164.4287	852.9827
ENSG00000102271.14 KLHL4 protein_coding	1.2086	0.3241
ENSG00000102287.19 GABRE protein_coding	37.9843	12.7230
ENSG00000102290.22 PCDH11X protein_coding	0.0707	0.0129
ENSG00000102302.8 FGD1 protein_coding	2.4210	7.6285
ENSG00000102309.15 PIN4 protein_coding	8.1434	15.5744
ENSG00000102312.23 PORCN protein_coding	6.4810	15.4608
ENSG00000102313.9 ITIH6 protein_coding	0.3623	0.2998
ENSG00000102316.17 MAGED2 protein_coding	133.5271	269.6688
ENSG00000102317.18 RBM3 protein_coding	87.9714	142.8016
ENSG00000102349.18 KLF8 protein_coding	8.4166	5.5309
ENSG00000102359.8 SRPX2 protein_coding	16.1879	8.0323
ENSG00000102362.15 SYTL4 protein_coding	3.2970	2.3712
ENSG00000102383.14 ZDHHC15 protein_coding	2.5632	0.6292
ENSG00000102384.13 CENPI protein_coding	0.7510	9.5495
ENSG00000102385.12 DRP2 protein_coding	0.1216	1.1397
ENSG00000102387.16 TAF7L protein_coding	0.0479	0.8095
ENSG00000102390.11 PBDC1 protein_coding	36.1711	76.7239
ENSG00000102393.14 GLA protein_coding	6.9077	11.1872
ENSG00000102401.20 ARMCX3 protein_coding	56.7837	56.8400
ENSG00000102409.10 BEX4 protein_coding	64.3760	49.7432
ENSG00000102452.18 NALCN protein_coding	0.2114	2.8946
ENSG00000102466.16 FGF14 protein_coding	0.5294	0.2910
ENSG00000102468.11 HTR2A protein_coding	0.2768	0.1950
ENSG00000102471.14 NDFIP2 protein_coding	14.2440	11.3898
ENSG00000102524.11 TNFSF13B protein_coding	5.4033	4.4040
ENSG00000102531.16 FNDC3A protein_coding	30.8921	14.6095
ENSG00000102539.5 MLNR protein_coding	0.1048	0.0805
ENSG00000102543.14 CDADC1 protein_coding	10.0920	3.3582
ENSG00000102547.19 CAB39L protein_coding	37.5017	12.7665
ENSG00000102554.14 KLF5 protein_coding	8.3151	51.0617
ENSG00000102572.15 STK24 protein_coding	14.4207	14.3113
ENSG00000102575.13 ACP5 protein_coding	15.8609	22.1871
ENSG00000102580.15 DNAJC3 protein_coding	44.2212	35.4801
ENSG00000102595.20 UGGT2 protein_coding	8.0933	8.2430
ENSG00000102606.18 ARHGEF7 protein_coding	21.8294	16.6714
ENSG00000102678.7 FGF9 protein_coding	0.9905	0.1132
ENSG00000102683.8 SGCG protein_coding	29.0180	0.2504
ENSG00000102699.6 PARP4 protein_coding	35.4645	29.9058
ENSG00000102710.20 SUPT20H protein_coding	6.8230	9.7664
ENSG00000102738.8 MRPS31 protein_coding	18.0892	10.9407
ENSG00000102743.15 SLC25A15 protein_coding	3.4111	10.1674
ENSG00000102753.10 KPNA3 protein_coding	41.7421	39.7792
ENSG00000102755.12 FLT1 protein_coding	24.7906	13.9739
ENSG00000102760.13 RGCC protein_coding	175.5971	72.6631
ENSG00000102763.18 VWA8 protein_coding	21.4050	7.1494
ENSG00000102780.17 DGKH protein_coding	2.3736	2.7296
ENSG00000102781.14 KATNAL1 protein_coding	14.8307	4.9944
ENSG00000102786.15 INTS6 protein_coding	3.5790	3.2528
ENSG00000102796.11 DHRS12 protein_coding	5.7243	1.3993
ENSG00000102802.10 MEDAG protein_coding	55.2653	4.1326
ENSG00000102804.15 TSC22D1 protein_coding	56.3365	43.9621
ENSG00000102805.16 CLN5 protein_coding	0.9976	0.4527
ENSG00000102837.7 OLFM4 protein_coding	8.3251	2.3868
ENSG00000102854.16 MSLN protein_coding	0.1672	14.5753
ENSG00000102858.13 MGRN1 protein_coding	10.9352	16.6171
ENSG00000102870.6 ZNF629 protein_coding	11.1605	12.8286
ENSG00000102871.16 TRADD protein_coding	14.4761	40.0678
ENSG00000102878.17 HSF4 protein_coding	6.0477	6.4862
ENSG00000102879.16 CORO1A protein_coding	6.4193	4.3955
ENSG00000102882.12 MAPK3 protein_coding	68.2706	34.2835
ENSG00000102886.15 GDPD3 protein_coding	2.3947	1.1109
ENSG00000102890.16 ELMO3 protein_coding	3.3607	61.0370
ENSG00000102891.4 MT4 protein_coding	0.0000	0.0000
ENSG00000102893.16 PHKB protein_coding	26.2243	11.4546
ENSG00000102897.10 LYRM1 protein_coding	40.8004	13.0675
ENSG00000102898.12 NUTF2 protein_coding	32.3467	79.3961
ENSG00000102900.13 NUP93 protein_coding	5.6795	20.4193
ENSG00000102901.13 CENPT protein_coding	5.2213	5.8975
ENSG00000102904.15 TSNAXIP1 protein_coding	0.4381	0.2202
ENSG00000102908.22 NFAT5 protein_coding	11.8614	5.4547
ENSG00000102910.14 LONP2 protein_coding	29.4967	17.2400
ENSG00000102921.8 N4BP1 protein_coding	19.7841	18.0160
ENSG00000102924.12 CBLN1 protein_coding	1.0979	1.1702
ENSG00000102931.8 ARL2BP protein_coding	0.1519	0.2002
ENSG00000102934.10 PLLP protein_coding	1.9087	0.9343
ENSG00000102935.12 ZNF423 protein_coding	10.2652	1.2232
ENSG00000102962.5 CCL22 protein_coding	0.6230	0.2395
ENSG00000102967.12 DHODH protein_coding	5.6954	3.6118
ENSG00000102970.11 CCL17 protein_coding	0.3484	1.2855
ENSG00000102974.16 CTCF protein_coding	14.2703	15.7694
ENSG00000102977.17 ACD protein_coding	7.1287	10.8058
ENSG00000102978.13 POLR2C protein_coding	38.7487	44.7915
ENSG00000102981.10 PARD6A protein_coding	3.5863	2.9924
ENSG00000102984.15 ZNF821 protein_coding	1.2210	1.7893
ENSG00000102996.5 MMP15 protein_coding	20.2182	19.3992
ENSG00000103005.12 USB1 protein_coding	10.6005	24.4295
ENSG00000103018.17 CYB5B protein_coding	34.6878	19.7397
ENSG00000103021.9 CCDC113 protein_coding	2.8690	3.8640
ENSG00000103023.12 PRSS54 protein_coding	0.0205	0.0236
ENSG00000103024.7 NME3 protein_coding	28.8062	31.8363
ENSG00000103034.14 NDRG4 protein_coding	2.8033	2.9016
ENSG00000103035.11 PSMD7 protein_coding	22.2673	26.6749
ENSG00000103037.12 SETD6 protein_coding	3.5280	4.6872
ENSG00000103042.9 SLC38A7 protein_coding	6.6298	9.5114
ENSG00000103043.15 VAC14 protein_coding	10.1022	14.5797
ENSG00000103044.11 HAS3 protein_coding	11.6743	1.7559
ENSG00000103047.8 TANGO6 protein_coding	5.3069	4.8712
ENSG00000103051.20 COG4 protein_coding	30.9880	30.9328
ENSG00000103056.12 SMPD3 protein_coding	0.9603	0.2215
ENSG00000103061.13 SLC7A6OS protein_coding	2.4985	1.9939
ENSG00000103064.15 SLC7A6 protein_coding	8.2398	2.8867
ENSG00000103066.13 PLA2G15 protein_coding	10.4971	10.4601
ENSG00000103067.14 ESRP2 protein_coding	2.9519	28.8372
ENSG00000103089.9 FA2H protein_coding	0.3167	1.0499
ENSG00000103091.15 WDR59 protein_coding	7.6165	8.8466
ENSG00000103111.15 MON1B protein_coding	15.8851	11.8569
ENSG00000103121.9 CMC2 protein_coding	1.0676	3.0539
ENSG00000103126.15 AXIN1 protein_coding	5.1725	16.5369
ENSG00000103145.11 HCFC1R1 protein_coding	59.8738	247.8345
ENSG00000103148.17 NPRL3 protein_coding	17.8369	20.8402
ENSG00000103150.7 MLYCD protein_coding	6.7872	1.4619
ENSG00000103152.12 MPG protein_coding	15.2613	20.9314
ENSG00000103154.9 NECAB2 protein_coding	0.1545	0.3564
ENSG00000103160.12 HSDL1 protein_coding	14.0682	12.8056
ENSG00000103168.17 TAF1C protein_coding	9.5274	10.1902
ENSG00000103174.13 NAGPA protein_coding	3.9608	4.0761
ENSG00000103175.11 WFDC1 protein_coding	0.5599	2.5419
ENSG00000103184.12 SEC14L5 protein_coding	0.6494	0.6485
ENSG00000103187.8 COTL1 protein_coding	21.7402	124.8306
ENSG00000103194.16 USP10 protein_coding	25.8847	36.1115
